"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup"
47,88857370,"waterboyalz (44/100)",0,141.85,"(SS) Cliff Pennington ,(P) Madison Bumgarner ,(OF) Joey Butler ,(OF) Billy Burns ,(2B) Jose Altuve ,(P) Danny Salazar ,(1B) Paul Goldschmidt ,(OF) George Springer ,(3B) Manny Machado ,(C) Evan Gattis "
62,88717674,"LRMorales92 (1/100)",0,141.70,"(OF) Ryan Raburn ,(1B) Brandon Belt ,(P) David Price ,(P) Madison Bumgarner ,(C) Buster Posey ,(3B) Brett Lawrie ,(SS) Brandon Crawford ,(OF) Billy Burns ,(OF) Joc Pederson ,(2B) Joe Panik "
63,88761550,"Bennys_Bootleggers (1/100)",0,141.55,"(SS) Jose Reyes ,(OF) Justin Upton ,(3B) Todd Frazier ,(OF) Giancarlo Stanton ,(OF) Joey Butler ,(P) Danny Salazar ,(1B) Paul Goldschmidt ,(2B) Brian Dozier ,(C) Evan Gattis ,(P) Tsuyoshi Wada "
64,88856902,"greenie2525 (2/100)",0,140.95,"(SS) Jhonny Peralta ,(OF) Mark Trumbo ,(C) Buster Posey ,(2B) Jason Kipnis ,(P) Tanner Roark ,(OF) A.J. Pollock ,(P) Chase Anderson ,(1B) Paul Goldschmidt ,(OF) Bryce Harper ,(3B) Yasmany Tomas "
65,88825650,"Donklane (1/100)",0,140.85,"(C) Stephen Vogt ,(OF) Giancarlo Stanton ,(P) Jake Odorizzi ,(OF) Billy Burns ,(2B) Jose Altuve ,(3B) Nolan Arenado ,(1B) Paul Goldschmidt ,(P) Carlos Martinez ,(OF) Bryce Harper ,(SS) Addison Russell "
66,88749007,"seth_adler22 (2/100)",0,140.15,"(C) Miguel Montero ,(OF) Mark Trumbo ,(P) Madison Bumgarner ,(2B) Daniel Descalso ,(P) Jake Odorizzi ,(OF) A.J. Pollock ,(3B) Nolan Arenado ,(OF) Jake Marisnick ,(1B) Paul Goldschmidt ,(SS) Jung Ho Kang "
67,88811247,"naapstermaan (1/100)",0,140.10,"(OF) David Peralta ,(2B) Jose Altuve ,(SS) Jean Segura ,(OF) A.J. Pollock ,(3B) Nolan Arenado ,(1B) Ben Paulsen ,(P) Yordano Ventura ,(P) Carlos Martinez ,(OF) Bryce Harper ,(C) Evan Gattis "
67,88811248,"naapstermaan (2/100)",0,140.10,"(OF) David Peralta ,(2B) Jose Altuve ,(SS) Jean Segura ,(OF) A.J. Pollock ,(3B) Nolan Arenado ,(1B) Ben Paulsen ,(P) Yordano Ventura ,(P) Carlos Martinez ,(OF) Bryce Harper ,(C) Evan Gattis "
67,88811249,"naapstermaan (3/100)",0,140.10,"(OF) David Peralta ,(2B) Jose Altuve ,(SS) Jean Segura ,(OF) A.J. Pollock ,(3B) Nolan Arenado ,(1B) Ben Paulsen ,(P) Yordano Ventura ,(P) Carlos Martinez ,(OF) Bryce Harper ,(C) Evan Gattis "
67,88811250,"naapstermaan (4/100)",0,140.10,"(OF) David Peralta ,(2B) Jose Altuve ,(SS) Jean Segura ,(OF) A.J. Pollock ,(3B) Nolan Arenado ,(1B) Ben Paulsen ,(P) Yordano Ventura ,(P) Carlos Martinez ,(OF) Bryce Harper ,(C) Evan Gattis "
67,88811251,"naapstermaan (5/100)",0,140.10,"(OF) David Peralta ,(2B) Jose Altuve ,(SS) Jean Segura ,(OF) A.J. Pollock ,(3B) Nolan Arenado ,(1B) Ben Paulsen ,(P) Yordano Ventura ,(P) Carlos Martinez ,(OF) Bryce Harper ,(C) Evan Gattis "
67,88811252,"naapstermaan (6/100)",0,140.10,"(OF) David Peralta ,(2B) Jose Altuve ,(SS) Jean Segura ,(OF) A.J. Pollock ,(3B) Nolan Arenado ,(1B) Ben Paulsen ,(P) Yordano Ventura ,(P) Carlos Martinez ,(OF) Bryce Harper ,(C) Evan Gattis "
67,88811253,"naapstermaan (7/100)",0,140.10,"(OF) David Peralta ,(2B) Jose Altuve ,(SS) Jean Segura ,(OF) A.J. Pollock ,(3B) Nolan Arenado ,(1B) Ben Paulsen ,(P) Yordano Ventura ,(P) Carlos Martinez ,(OF) Bryce Harper ,(C) Evan Gattis "
74,88821787,"Jgrando8 (1/100)",0,138.85,"(OF) Nelson Cruz ,(SS) Jhonny Peralta ,(2B) Dustin Pedroia ,(C) Stephen Vogt ,(3B) Josh Donaldson ,(P) Jake Odorizzi ,(1B) Justin Bour ,(OF) George Springer ,(P) Carlos Martinez ,(OF) Bryce Harper "
75,88796577,"Kingchopper (1/100)",0,138.50,"(P) Bartolo Colon ,(C) A.J. Pierzynski ,(OF) Hanley Ramirez ,(SS) Jhonny Peralta ,(OF) Jason Heyward ,(3B) Josh Donaldson ,(2B) Kolten Wong ,(OF) Mike Trout ,(1B) Paul Goldschmidt ,(P) Carlos Martinez "
76,88740420,"KluckThatNoise (1/100)",0,138.40,"(3B) Alex Rodriguez ,(2B) Ian Kinsler ,(OF) Carlos Gomez ,(OF) Chris Colabello ,(P) Madison Bumgarner ,(C) Stephen Vogt ,(SS) Zack Cozart ,(OF) Billy Burns ,(1B) Paul Goldschmidt ,(P) Yordano Ventura "
76,88790007,"dano282 (1/100)",0,138.40,"(OF) Mark Trumbo ,(OF) David Peralta ,(P) Madison Bumgarner ,(SS) Ruben Tejada ,(3B) Nolan Arenado ,(1B) Paul Goldschmidt ,(2B) Brian Dozier ,(C) Tucker Barnhart ,(P) Yordano Ventura ,(OF) Evan Gattis "
78,88757708,"zdov97 (1/100)",0,138.00,"(2B) Robinson Cano ,(OF) Ryan Raburn ,(1B) Prince Fielder ,(SS) Hanley Ramirez ,(P) Madison Bumgarner ,(C) Stephen Vogt ,(3B) Josh Donaldson ,(OF) Giancarlo Stanton ,(OF) Joey Butler ,(P) Carlos Martinez "
79,88832486,"mykcorleone (1/100)",0,137.85,"(1B) Miguel Cabrera ,(2B) Ben Zobrist ,(C) Stephen Vogt ,(P) Jake Odorizzi ,(SS) Jean Segura ,(OF) Mike Trout ,(3B) Nolan Arenado ,(OF) George Springer ,(P) Carlos Martinez ,(OF) Mookie Betts "
79,88832525,"mykcorleone (4/100)",0,137.85,"(1B) Miguel Cabrera ,(2B) Ben Zobrist ,(C) Stephen Vogt ,(P) Jake Odorizzi ,(SS) Jean Segura ,(OF) Mike Trout ,(3B) Nolan Arenado ,(OF) George Springer ,(P) Carlos Martinez ,(OF) Mookie Betts "
81,88752054,"stlcards31 (1/100)",0,136.85,"(OF) Nelson Cruz ,(OF) Chris Colabello ,(3B) Todd Frazier ,(OF) Giancarlo Stanton ,(P) Jake Odorizzi ,(1B) Paul Goldschmidt ,(2B) Brian Dozier ,(P) Carlos Martinez ,(C) Evan Gattis ,(SS) Jung Ho Kang "
