"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup"
38,85952093,"navbri (1/50)",0,153.80,"(1B) Michael Cuddyer ,(OF) Carlos Gonzalez ,(C) Michael McKenry ,(P) David Price ,(OF) Charlie Blackmon ,(2B) Wilmer Flores ,(3B) Nolan Arenado ,(OF) Ender Inciarte ,(P) Jacob deGrom ,(SS) Brad Miller "
38,85968775,"AKDog47 (1/50)",0,153.80,"(OF) Carlos Gonzalez ,(2B) Martin Prado ,(C) Michael McKenry ,(P) David Price ,(OF) Anthony Gose ,(OF) Charlie Blackmon ,(SS) Wilmer Flores ,(1B) Darin Ruf ,(P) Jacob deGrom ,(3B) Maikel Franco "
41,85960865,"JMeds611 (1/50)",0,152.90,"(2B) Martin Prado ,(1B) Mark Trumbo ,(SS) Cliff Pennington ,(P) Clayton Kershaw ,(C) Jordan Pacheco ,(OF) Giancarlo Stanton ,(OF) Charlie Blackmon ,(3B) Nick Castellanos ,(P) Jacob deGrom ,(OF) Yasmany Tomas "
42,85765479,"TKWinsome (1/50)",0,152.80,"(1B) Michael Cuddyer ,(OF) Carlos Gonzalez ,(2B) Martin Prado ,(P) David Price ,(C) Buster Posey ,(SS) Wilmer Flores ,(3B) Matt Carpenter ,(OF) Ender Inciarte ,(P) Jacob deGrom ,(OF) Yoenis Cespedes "
42,85943281,"atino3 (1/50)",0,152.80,"(2B) Robinson Cano ,(SS) J.J. Hardy ,(3B) Miguel Cabrera ,(1B) Mark Trumbo ,(P) David Price ,(OF) Jake Marisnick ,(P) Jacob deGrom ,(C) Evan Gattis ,(OF) Yoenis Cespedes ,(OF) Yasmany Tomas "
42,85961116,"LeftyW (1/50)",0,152.80,"(2B) Robinson Cano ,(1B) Mark Trumbo ,(OF) Jimmy Paredes ,(P) David Price ,(SS) Freddy Galvis ,(OF) Ender Inciarte ,(P) Jacob deGrom ,(3B) Maikel Franco ,(C) Evan Gattis ,(OF) Yasmany Tomas "
42,85963568,"Rjjacobi (2/50)",0,152.80,"(2B) Robinson Cano ,(3B) Miguel Cabrera ,(OF) Carlos Gonzalez ,(1B) Steve Pearce ,(P) David Price ,(SS) Freddy Galvis ,(OF) Charlie Blackmon ,(C) Ryan Lavarnway ,(OF) Ender Inciarte ,(P) Jacob deGrom "
42,85965030,"trapPick13 (1/50)",0,152.80,"(1B) Ryan Howard ,(OF) Nelson Cruz ,(OF) Mark Trumbo ,(OF) Scott Van Slyke ,(C) Michael McKenry ,(2B) Justin Turner ,(3B) Jimmy Paredes ,(P) David Price ,(SS) Freddy Galvis ,(P) Jacob deGrom "
47,85866193,"jrhulse (1/50)",0,152.25,"(1B) Ryan Howard ,(2B) Martin Prado ,(OF) Seth Smith ,(P) David Price ,(P) Madison Bumgarner ,(3B) Freddy Galvis ,(OF) A.J. Pollock ,(C) James McCann ,(SS) Brad Miller ,(OF) Yoenis Cespedes "
47,85866208,"jrhulse (2/50)",0,152.25,"(1B) Ryan Howard ,(2B) Martin Prado ,(OF) Seth Smith ,(P) David Price ,(P) Madison Bumgarner ,(3B) Freddy Galvis ,(OF) A.J. Pollock ,(C) James McCann ,(SS) Brad Miller ,(OF) Yoenis Cespedes "
47,85866215,"jrhulse (3/50)",0,152.25,"(1B) Ryan Howard ,(2B) Martin Prado ,(OF) Seth Smith ,(P) David Price ,(P) Madison Bumgarner ,(3B) Freddy Galvis ,(OF) A.J. Pollock ,(C) James McCann ,(SS) Brad Miller ,(OF) Yoenis Cespedes "
47,85866226,"jrhulse (4/50)",0,152.25,"(1B) Ryan Howard ,(2B) Martin Prado ,(OF) Seth Smith ,(P) David Price ,(P) Madison Bumgarner ,(3B) Freddy Galvis ,(OF) A.J. Pollock ,(C) James McCann ,(SS) Brad Miller ,(OF) Yoenis Cespedes "
47,85957812,"abesmi1431 (4/50)",0,152.25,"(3B) Miguel Cabrera ,(SS) Cliff Pennington ,(OF) John Mayberry ,(2B) Daniel Murphy ,(P) David Price ,(P) Madison Bumgarner ,(1B) Lucas Duda ,(OF) J.D. Martinez ,(C) Kevin Plawecki ,(OF) Yoenis Cespedes "
52,85940791,"broutman (1/50)",0,151.90,"(P) Clayton Kershaw ,(P) David Price ,(C) Jordan Pacheco ,(SS) Freddy Galvis ,(OF) A.J. Pollock ,(1B) Darin Ruf ,(OF) Ender Inciarte ,(3B) Nick Castellanos ,(OF) Yoenis Cespedes ,(2B) Alex Guerrero "
